MMS ID,Main title,Subject,Place of publication,Date 1,Language original,ie_folders
994581160101488,Bedevaart naar het Heilig Land,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899;UDC 248.153.8 <33> Bedevaarten. Pelgrimstochten--(algemeen)--Oud-Palestina. Judea;KUL #SJ/LH/WMAG;KADOC reisverhaal;KADOC bedevaarten;KADOC Heilig Land;GGSB Volksreligie (volksreligiositeit / devotie)",Gent,1886,fre,IE50773251
996796310101488,"Comment j'ai retrouvé Livingstone : voyages, aventures et découvertes dans le centre de l'Afrique /",KUL #SJ/LH/(6);UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika;UDC 967 Geschiedenis van Centraal en Equatoriaal Afrika,Paris,1874,,IE53894290
999385040101488,"Offt begehrte Beschreibung der newen orientalischen Reyse ... Item ein Schreiben des woledeln Johan Albrecht von Mandelso, worinnen dessen Ostindianische Reise über den Oceanum enthalten...",UDC 910.4 <47> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Rusland. Sovjet-Unie,Schleswig,1647,,IE33922035
9912261440101488,Naples et le Mont-Cassin.,UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Anvers,1850,,IE43578017|IE43579451
9914069170101488,Dernier journal du docteur David Livingstone relatant ses explorations et découvertes de 1866 à 1873 suivi du Récit de ses derniers moments,UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika;UDC 967 Geschiedenis van Centraal en Equatoriaal Afrika,Paris,1876,eng,IE53898100|IE53899805
9918119710101488,Voyage pittoresque de Constantinople et des rives du Bosphore:,"KUL #SJ/LH/(09);UDC 910.4 <560 CONSTANTINOPEL> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Turkije--CONSTANTINOPEL;STCV Aardrijkskunde, cartografie, demografie--Oude drukken",Bruxelles,1829,,IE54404766
9918187690101488,Explorations dans l'Afrique australe et dans le bassin du Zambèse depuis 1840 jusqu'à 1864,UDC 910.4 <67> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Equatoriaal en Centraal Afrikaanse Staten. Centraal-Afrika. Midden-Afrika,Paris,1876,,IE48167111
9918681730101488,"Reize door Duitschland en Zwitserland, sedert 1781",KUL #SJ/LH/(09);UDC 910.4 <43> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Duitsland voor 1945 en na 1989;UDC 910.4 <44> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frankrijk,Amsterdam,1790,,IE53601843|IE53603445|IE53604062|IE53604895|IE53605608|IE53605653|IE53607314|IE53742673
9918832330101488,"Journal d'un voyage à Temboctou et à Jenné, dans l'Afrique centrale, précédé d'observations faites chez les Maures Braknas, les Naouls et d'autres peuples ; pendant les années 1824, 1825, 1826, 1827, 1828",KUL #SJ/LH/(09);KUL #SJ/LH/(6);UDC 910.4 <6> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Afrika,Bruxelles,1830,,IE53648145|IE60661823
9918852890101488,Mon voyage au Continent Noir,UDC 910.4 <6> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Afrika,Paris,1891,,IE53859875
9918853480101488,Choses d'Afrique,UDC 910.4 <6> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Afrika,Paris,1892,,IE53868157
9918879320101488,"Voyages dans les états barbaresques de Maroc, Alger, Tunis et Tripoly ; ou lettres d'un des captifs qui viennent d'être rachetés par Mm. les Chanoines réguliers de la Sainte-Tinité ; suivies d'une notice sur leurs rachat, et du catalogue de leurs nom.",KUL #SJ/LH/(6);UDC 910.4 <61> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Noord-Afrikaanse Staten. Maghreb. Noord-Afrika,Paris,1785,,IE53467817
9918970010101488,Trente-deux ans à travers l'Islam. (1832-1864.),UDC 910.4 <6> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Afrika,Paris,1884,,IE48187439|IE48189544
