ie_folder,mms_id,title,language,date,total_ocr_pages,origin,destination,full_route,med_segment,num_stops,num_med_stops,sea_pages,voyage_pages,med_keyword_pages,route_detail
IE50773251,994581160101488,Bedevaart naar het Heilig Land,fre,1886,296,Spain,France,Spain → India → Lebanon → Palestine → Italy → Persia → Turkey → Austria → Syria → Egypt → France,Spain → Lebanon → Palestine → Italy → Turkey → Syria → Egypt → France,11,8,176,68,0,"[{""page"": 13, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""13-276"", ""matched_term"": ""espagne""}, {""page"": 21, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 183, ""page_range"": ""7-294"", ""matched_term"": ""inde""}, {""page"": 55, ""place"": ""Lebanon"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""55-287"", ""matched_term"": ""liban""}, {""page"": 61, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 199, ""page_range"": ""4-294"", ""matched_term"": ""palestine""}, {""page"": 104, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 42, ""page_range"": ""12-286"", ""matched_term"": ""italie""}, {""page"": 106, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""63-260"", ""matched_term"": ""perse""}, {""page"": 123, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 6, ""page_range"": ""96-205"", ""matched_term"": ""turquie""}, {""page"": 161, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 35, ""page_range"": ""13-280"", ""matched_term"": ""autriche""}, {""page"": 182, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 25, ""page_range"": ""30-290"", ""matched_term"": ""syrie""}, {""page"": 189, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 12, ""page_range"": ""27-286"", ""matched_term"": ""egypte""}, {""page"": 256, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 25, ""page_range"": ""12-294"", ""matched_term"": ""france""}]"
IE53894290,996796310101488,"Comment j'ai retrouvé Livingstone : voyages, aventures et découvertes dans le centre de l'Afrique /",nan,1874,628,India,France,India → Turkey → Egypt → Italy → Greece → Syria → Persia → China → Austria → Germany → Palestine → Spain → Russia → England → France,Turkey → Egypt → Italy → Greece → Syria → Palestine → Spain → France,15,8,52,141,0,"[{""page"": 2, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 25, ""page_range"": ""2-574"", ""matched_term"": ""inde""}, {""page"": 18, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""18-504"", ""matched_term"": ""turquie""}, {""page"": 18, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 12, ""page_range"": ""18-576"", ""matched_term"": ""egypte""}, {""page"": 52, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 73, ""page_range"": ""20-619"", ""matched_term"": ""italie""}, {""page"": 52, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""52-199"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 54, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""54-347"", ""matched_term"": ""syrie""}, {""page"": 91, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 15, ""page_range"": ""18-469"", ""matched_term"": ""perse""}, {""page"": 99, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 9, ""page_range"": ""99-572"", ""matched_term"": ""chine""}, {""page"": 204, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 32, ""page_range"": ""22-612"", ""matched_term"": ""autriche""}, {""page"": 239, ""place"": ""Germany"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""239-453"", ""matched_term"": ""allemagne""}, {""page"": 246, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 13, ""page_range"": ""18-523"", ""matched_term"": ""palestine""}, {""page"": 316, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 37, ""page_range"": ""13-623"", ""matched_term"": ""espagne""}, {""page"": 352, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 4, ""page_range"": ""41-359"", ""matched_term"": ""russie""}, {""page"": 560, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 58, ""page_range"": ""11-624"", ""matched_term"": ""angleterre""}, {""page"": 607, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 45, ""page_range"": ""6-624"", ""matched_term"": ""france""}]"
IE33922035,999385040101488,"Offt begehrte Beschreibung der newen orientalischen Reyse ... Item ein Schreiben des woledeln Johan Albrecht von Mandelso, worinnen dessen Ostindianische Reise über den Oceanum enthalten...",nan,1647,672,Palestine,India,Palestine → France → Syria → Germany → Malta → Italy → Persia → Morocco → Egypt → Portugal → China → India,Palestine → France → Syria → Malta → Italy → Morocco → Egypt → Portugal,12,8,151,325,1,"[{""page"": 27, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""27-653"", ""matched_term"": ""palestine""}, {""page"": 45, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""45-523"", ""matched_term"": ""france""}, {""page"": 79, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""79-653"", ""matched_term"": ""syrie""}, {""page"": 161, ""place"": ""Germany"", ""is_mediterranean"": false, ""total_mentions"": 24, ""page_range"": ""32-622"", ""matched_term"": ""allemagne""}, {""page"": 263, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""263-386"", ""matched_term"": ""malte""}, {""page"": 273, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 42, ""page_range"": ""19-653"", ""matched_term"": ""italie""}, {""page"": 333, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 282, ""page_range"": ""14-658"", ""matched_term"": ""perse""}, {""page"": 450, ""place"": ""Morocco"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""450-471"", ""matched_term"": ""maroc""}, {""page"": 488, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""380-491"", ""matched_term"": ""egypte""}, {""page"": 627, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""453-656"", ""matched_term"": ""portugal""}, {""page"": 629, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 11, ""page_range"": ""19-653"", ""matched_term"": ""chine""}, {""page"": 632, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 334, ""page_range"": ""15-665"", ""matched_term"": ""inde""}]"
IE43578017,9912261440101488,Naples et le Mont-Cassin.,nan,1850,312,Belgium,Spain,Belgium → India → Syria → Russia → Greece → Egypt → Germany → England → Italy → Austria → France → China → Portugal → Algeria → Palestine → Spain,Syria → Greece → Egypt → Italy → France → Portugal → Algeria → Palestine → Spain,16,9,74,18,4,"[{""page"": 3, ""place"": ""Belgium"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""3-157"", ""matched_term"": ""belgique""}, {""page"": 21, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 8, ""page_range"": ""21-304"", ""matched_term"": ""inde""}, {""page"": 50, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""50-243"", ""matched_term"": ""syrie""}, {""page"": 58, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""58-275"", ""matched_term"": ""russie""}, {""page"": 74, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""39-243"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 74, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""74-138"", ""matched_term"": ""egypte""}, {""page"": 87, ""place"": ""Germany"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""87-108"", ""matched_term"": ""allemagne""}, {""page"": 98, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""98-158"", ""matched_term"": ""angleterre""}, {""page"": 104, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 255, ""page_range"": ""3-309"", ""matched_term"": ""italie""}, {""page"": 115, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 20, ""page_range"": ""21-291"", ""matched_term"": ""autriche""}, {""page"": 142, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 32, ""page_range"": ""22-300"", ""matched_term"": ""france""}, {""page"": 163, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""18-164"", ""matched_term"": ""chine""}, {""page"": 218, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""218-248"", ""matched_term"": ""portugal""}, {""page"": 231, ""place"": ""Algeria"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""231-257"", ""matched_term"": ""alg\u00e9rie""}, {""page"": 273, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 23, ""page_range"": ""68-291"", ""matched_term"": ""palestine""}, {""page"": 275, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 8, ""page_range"": ""52-289"", ""matched_term"": ""espagne""}]"
IE43579451,9912261440101488,Naples et le Mont-Cassin.,nan,1850,330,China,Turkey,China → Belgium → Spain → England → Palestine → Greece → Italy → Austria → France → Germany → Egypt → India → Syria → Persia → Turkey,Spain → Palestine → Greece → Italy → France → Egypt → Syria → Turkey,15,8,39,18,2,"[{""page"": 44, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""44-214"", ""matched_term"": ""chine""}, {""page"": 100, ""place"": ""Belgium"", ""is_mediterranean"": false, ""total_mentions"": 8, ""page_range"": ""1-224"", ""matched_term"": ""belgique""}, {""page"": 108, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""108-275"", ""matched_term"": ""espagne""}, {""page"": 108, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""108-273"", ""matched_term"": ""angleterre""}, {""page"": 111, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 14, ""page_range"": ""11-298"", ""matched_term"": ""palestine""}, {""page"": 168, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 16, ""page_range"": ""29-317"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 194, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 244, ""page_range"": ""1-326"", ""matched_term"": ""italie""}, {""page"": 209, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 13, ""page_range"": ""24-300"", ""matched_term"": ""autriche""}, {""page"": 267, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 15, ""page_range"": ""80-302"", ""matched_term"": ""france""}, {""page"": 272, ""place"": ""Germany"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""222-273"", ""matched_term"": ""allemagne""}, {""page"": 274, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 12, ""page_range"": ""55-316"", ""matched_term"": ""egypte""}, {""page"": 274, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""55-281"", ""matched_term"": ""inde""}, {""page"": 276, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""177-285"", ""matched_term"": ""syrie""}, {""page"": 295, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 4, ""page_range"": ""43-307"", ""matched_term"": ""perse""}, {""page"": 309, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""114-318"", ""matched_term"": ""turquie""}]"
IE53898100,9914069170101488,Dernier journal du docteur David Livingstone relatant ses explorations et découvertes de 1866 à 1873 suivi du Récit de ses derniers moments,eng,1876,424,England,China,England → India → Palestine → Austria → Portugal → Greece → Italy → Egypt → Syria → France → China,Palestine → Portugal → Greece → Italy → Egypt → Syria → France,11,7,57,62,1,"[{""page"": 7, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 19, ""page_range"": ""7-407"", ""matched_term"": ""angleterre""}, {""page"": 18, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 18, ""page_range"": ""18-415"", ""matched_term"": ""inde""}, {""page"": 66, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""66-387"", ""matched_term"": ""palestine""}, {""page"": 103, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 46, ""page_range"": ""12-395"", ""matched_term"": ""autriche""}, {""page"": 126, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""126-345"", ""matched_term"": ""portugal""}, {""page"": 142, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""109-408"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 162, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 29, ""page_range"": ""23-417"", ""matched_term"": ""italie""}, {""page"": 372, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 10, ""page_range"": ""71-386"", ""matched_term"": ""egypte""}, {""page"": 387, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""68-388"", ""matched_term"": ""syrie""}, {""page"": 402, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 31, ""page_range"": ""7-419"", ""matched_term"": ""france""}, {""page"": 411, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 11, ""page_range"": ""17-417"", ""matched_term"": ""chine""}]"
IE53899805,9914069170101488,Dernier journal du docteur David Livingstone relatant ses explorations et découvertes de 1866 à 1873 suivi du Récit de ses derniers moments,eng,1876,428,Spain,Greece,Spain → Austria → Egypt → France → China → Malta → Palestine → England → India → Persia → Italy → Greece,Spain → Egypt → France → Malta → Palestine → Italy → Greece,12,7,34,58,0,"[{""page"": 12, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""12-200"", ""matched_term"": ""espagne""}, {""page"": 39, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 51, ""page_range"": ""26-422"", ""matched_term"": ""autriche""}, {""page"": 63, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 12, ""page_range"": ""63-309"", ""matched_term"": ""egypte""}, {""page"": 72, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 25, ""page_range"": ""5-424"", ""matched_term"": ""france""}, {""page"": 95, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 10, ""page_range"": ""11-352"", ""matched_term"": ""chine""}, {""page"": 105, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""105-241"", ""matched_term"": ""malte""}, {""page"": 163, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 21, ""page_range"": ""15-422"", ""matched_term"": ""palestine""}, {""page"": 235, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 20, ""page_range"": ""5-424"", ""matched_term"": ""angleterre""}, {""page"": 240, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 16, ""page_range"": ""14-419"", ""matched_term"": ""inde""}, {""page"": 254, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""254-394"", ""matched_term"": ""perse""}, {""page"": 255, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 35, ""page_range"": ""12-380"", ""matched_term"": ""italie""}, {""page"": 371, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""233-401"", ""matched_term"": ""gr\u00e8ce""}]"
IE54404766,9918119710101488,Voyage pittoresque de Constantinople et des rives du Bosphore:,nan,1829,328,Greece,Russia,Greece → Egypt → Malta → Croatia → France → Turkey → Austria → Spain → India → Palestine → Persia → Italy → Russia,Greece → Egypt → Malta → Croatia → France → Turkey → Spain → Palestine → Italy,13,9,88,168,4,"[{""page"": 10, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 17, ""page_range"": ""10-249"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 10, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""10-232"", ""matched_term"": ""egypte""}, {""page"": 10, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""10-150"", ""matched_term"": ""malte""}, {""page"": 10, ""place"": ""Croatia"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""10-322"", ""matched_term"": ""croatie""}, {""page"": 18, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 21, ""page_range"": ""10-296"", ""matched_term"": ""france""}, {""page"": 41, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 210, ""page_range"": ""5-323"", ""matched_term"": ""turquie""}, {""page"": 57, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 31, ""page_range"": ""13-322"", ""matched_term"": ""autriche""}, {""page"": 68, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""68-134"", ""matched_term"": ""espagne""}, {""page"": 96, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""96-259"", ""matched_term"": ""inde""}, {""page"": 150, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 6, ""page_range"": ""29-307"", ""matched_term"": ""palestine""}, {""page"": 188, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 4, ""page_range"": ""39-195"", ""matched_term"": ""perse""}, {""page"": 266, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 47, ""page_range"": ""7-323"", ""matched_term"": ""italie""}, {""page"": 291, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 8, ""page_range"": ""37-294"", ""matched_term"": ""russie""}]"
IE48167111,9918187690101488,Explorations dans l'Afrique australe et dans le bassin du Zambèse depuis 1840 jusqu'à 1864,nan,1876,374,India,Portugal,India → Egypt → China → France → Persia → Austria → Italy → England → Portugal,Egypt → France → Italy → Portugal,9,4,58,78,0,"[{""page"": 10, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 17, ""page_range"": ""10-346"", ""matched_term"": ""inde""}, {""page"": 21, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 8, ""page_range"": ""21-339"", ""matched_term"": ""egypte""}, {""page"": 24, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""24-350"", ""matched_term"": ""chine""}, {""page"": 27, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 10, ""page_range"": ""7-369"", ""matched_term"": ""france""}, {""page"": 112, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""112-173"", ""matched_term"": ""perse""}, {""page"": 119, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 34, ""page_range"": ""19-366"", ""matched_term"": ""autriche""}, {""page"": 173, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 22, ""page_range"": ""31-335"", ""matched_term"": ""italie""}, {""page"": 195, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 38, ""page_range"": ""10-365"", ""matched_term"": ""angleterre""}, {""page"": 232, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""137-241"", ""matched_term"": ""portugal""}]"
IE53601843,9918681730101488,"Reize door Duitschland en Zwitserland, sedert 1781",nan,1790,208,Netherlands,Italy,Netherlands → India → Austria → China → Spain → Italy,Spain → Italy,6,2,86,26,0,"[{""page"": 3, ""place"": ""Netherlands"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""3-193"", ""matched_term"": ""hollande""}, {""page"": 32, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 89, ""page_range"": ""5-208"", ""matched_term"": ""inde""}, {""page"": 51, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 13, ""page_range"": ""7-176"", ""matched_term"": ""autriche""}, {""page"": 73, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""73-74"", ""matched_term"": ""chine""}, {""page"": 113, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""37-182"", ""matched_term"": ""espagne""}, {""page"": 123, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 19, ""page_range"": ""7-206"", ""matched_term"": ""italie""}]"
